Customer ID,Customer Type,Account Type,Customer Region,Customer Loyalty Tier,Dispute ID,Dispute Type,Dispute Date,Dispute Resolution Time,Dispute Status,Dispute Priority,Transaction ID,Transaction Date,Transaction Amount,Transaction Type,Merchant ID,Transaction Location,Action Taken,Resolution Outcome,Resolution Time,Dispute Resolution Method,Customer Satisfaction Score,Feedback Comments,Communication Channels Used
CUS3399,Existing,Checking,Illinois,Gold,LLUWS47,Service Issue,2024-05-21,12,Under Investigation,Low,61162204,2024-02-21,2575.35,Withdrawal,J428XC,Florida,Issue Fixed,Resolved in Favor of Bank,20,Hybrid,2,Satisfied,Online Chat
CUS4450,New,Savings,Washington,Gold,IDM1A72,Fraud,2024-05-17,13,Pending,High,11385775,2024-01-14,2387.63,Transfer,B8YKAN,California,Compensation Provided,Partial Refund,24,AI,1,Neutral,Social Media
CUS9662,Existing,Checking,Texas,Platinum,6AIB5GI,Account Lock,2024-07-28,14,Pending,Low,37848246,2024-01-18,791.64,Online Purchase,CAQ1WR,Illinois,Investigation Started,Partial Refund,19,Hybrid,1,Very Satisfied,Online Chat
CUS4684,Existing,Savings,Florida,Bronze,1H3YN6G,Billing Error,2024-07-20,3,Pending,Medium,59709414,2024-04-03,374.94,Deposit,TIYG18,Georgia,Investigation Started,Resolved in Favor of Customer,27,Human Intervention,5,Could Be Better,Social Media
CUS4180,Existing,Savings,Texas,Platinum,FRLFQWY,Account Lock,2024-12-21,9,Under Investigation,Medium,73812163,2024-05-02,854.8,Withdrawal,DZKNAW,Florida,Compensation Provided,Customer Compensation,6,Hybrid,2,Satisfied,Online Chat
CUS1064,New,Checking,Georgia,Bronze,E84WC0Q,Fraud,2024-04-12,5,Under Investigation,Low,62227775,2024-11-07,654.06,Deposit,DJAL6A,Washington,Communication Sent,Resolved in Favor of Customer,7,AI,2,Will Recommend,Online Chat
CUS3276,New,Savings,Illinois,Silver,F28P075,Transaction Error,2024-02-03,5,Resolved,Medium,39145598,2024-12-24,351.4,Transfer,4QNJPN,Georgia,Issue Fixed,Resolved in Favor of Customer,5,AI,2,Will Recommend,In-Person
CUS8789,Existing,Savings,Texas,Platinum,M3EF8FF,Billing Error,2024-01-05,7,Resolved,Medium,17908536,2024-03-22,2854.18,Online Purchase,CEPRGL,Washington,Issue Fixed,Resolved in Favor of Bank,1,Human Intervention,1,Could Be Better,Phone
CUS8425,Existing,Checking,Georgia,Gold,6QGBTCP,Transaction Error,2024-02-10,2,Pending,Low,27577193,2024-03-03,604.3,Online Purchase,8TQOOA,Ohio,Refund Issued,Resolved in Favor of Bank,28,AI,1,Neutral,Email
CUS6569,Existing,Checking,Texas,Silver,RGKFOU5,Billing Error,2024-10-16,2,Under Investigation,Low,56566640,2024-10-16,2801.75,Deposit,X6DHBW,Florida,Investigation Started,Partial Refund,9,Human Intervention,1,Very Satisfied,Online Chat
CUS2486,New,Checking,California,Platinum,TFZZ376,Account Lock,2024-11-18,7,Under Investigation,Low,73582245,2024-09-09,2000.0,Online Purchase,NT5QED,Washington,Communication Sent,Customer Compensation,23,Human Intervention,2,Neutral,Social Media
CUS5763,New,Savings,Ohio,Gold,KCJ3AGU,Service Issue,2024-09-01,3,Under Investigation,Low,14675743,2024-04-25,1549.16,Cashback,3YA4AE,Washington,Issue Fixed,Partial Refund,22,AI,4,Dissatisfied,In-Person
CUS4630,New,Checking,New York,Gold,87BM07W,Fraud,2024-04-02,11,Resolved,Low,43901357,2024-02-03,1037.99,Cashback,LIK1LJ,Ohio,Communication Sent,Resolved in Favor of Bank,27,Hybrid,3,Dissatisfied,Social Media
CUS3806,New,Checking,California,Platinum,WNBG2Z1,Fraud,2024-10-28,11,Pending,Low,42841145,2024-10-12,1601.99,Cashback,RKAL70,Washington,Refund Issued,Partial Refund,8,Human Intervention,1,Very Satisfied,Email
CUS8969,Existing,Savings,California,Bronze,X4C7PVW,Transaction Error,2024-09-25,8,Pending,Medium,41353358,2024-07-19,2929.91,Cashback,BF5OXL,Illinois,Compensation Provided,Customer Compensation,24,Hybrid,2,Very Satisfied,Phone
CUS3412,New,Savings,Ohio,Gold,GY4ZJXT,Unauthorized Charge,2024-04-27,12,Resolved,Low,34286520,2024-10-21,2540.11,Transfer,SR9AVW,California,Issue Fixed,Resolved in Favor of Bank,12,Hybrid,2,Neutral,Email
CUS4298,New,Checking,Florida,Gold,C307AW4,Billing Error,2024-05-15,10,Pending,Low,64480350,2024-04-16,1578.53,Deposit,2QNXYI,Illinois,Investigation Started,Resolved in Favor of Customer,6,Human Intervention,4,Neutral,Phone
CUS3755,Existing,Checking,Texas,Platinum,7M1T3BR,Account Lock,2024-09-19,6,Pending,Low,42035901,2024-11-27,2142.57,Online Purchase,7HF9M9,Illinois,Compensation Provided,Resolved in Favor of Bank,4,AI,4,Satisfied,In-Person
CUS8830,New,Savings,Florida,Silver,1F86DMV,Service Issue,2024-09-08,5,Pending,Low,66976507,2024-09-02,638.55,Withdrawal,OZQIU9,Ohio,Investigation Started,Resolved in Favor of Customer,18,AI,2,Neutral,Email
CUS5601,New,Checking,Ohio,Silver,TW8X5LI,Account Lock,2024-05-12,6,Pending,Low,77950351,2024-03-09,288.1,Withdrawal,I8G6UN,Illinois,Issue Fixed,Resolved in Favor of Bank,13,Human Intervention,5,Neutral,Email
CUS1352,Existing,Savings,Illinois,Gold,BO9ZOVO,Billing Error,2024-02-21,8,Under Investigation,High,61948951,2024-05-13,965.56,Transfer,B1641D,Texas,Issue Fixed,Resolved in Favor of Customer,16,Human Intervention,4,Could Be Better,In-Person
CUS9367,New,Checking,Ohio,Gold,NRF8E1U,Transaction Error,2024-09-01,14,Under Investigation,High,02360727,2024-09-20,893.61,Withdrawal,51JMB0,Washington,Investigation Started,Partial Refund,8,Human Intervention,2,Satisfied,Email
CUS9391,Existing,Checking,Washington,Gold,VNWQQQH,Service Issue,2024-05-20,8,Under Investigation,High,52152286,2024-12-26,1039.75,Online Purchase,CDCZQT,Florida,Communication Sent,Resolved in Favor of Customer,13,Human Intervention,5,Very Satisfied,Social Media
CUS3063,Existing,Checking,Ohio,Gold,WSM8OMO,Transaction Error,2024-01-23,3,Resolved,High,19801271,2024-02-01,1160.18,Deposit,FUKMCT,California,Compensation Provided,Partial Refund,11,AI,3,Very Satisfied,In-Person
CUS1735,New,Savings,Washington,Platinum,HAFKR9Q,Transaction Error,2024-09-13,6,Resolved,Medium,40788700,2024-05-11,1636.89,Online Purchase,MBMMRA,Washington,Communication Sent,Partial Refund,26,Human Intervention,4,Very Dissatisfied,Online Chat
CUS4860,New,Checking,New York,Bronze,Z6NBJAX,Billing Error,2024-04-07,12,Under Investigation,Low,10379918,2024-03-23,247.3,Withdrawal,SSAMOM,Florida,Investigation Started,Resolved in Favor of Customer,2,Human Intervention,4,Very Dissatisfied,Online Chat
CUS2612,New,Checking,Washington,Platinum,S67DYH1,Billing Error,2024-04-09,7,Under Investigation,Medium,06610783,2024-07-10,2056.81,Transfer,30CS6G,Texas,Issue Fixed,Partial Refund,28,Hybrid,3,Satisfied,Social Media
CUS8214,Existing,Savings,Texas,Bronze,MDX5W4R,Account Lock,2024-04-04,3,Pending,Medium,47535854,2024-12-04,235.58,Transfer,778NIS,Florida,Compensation Provided,Resolved in Favor of Bank,11,AI,5,Very Satisfied,Online Chat
CUS1869,New,Checking,Georgia,Gold,X4GE6IB,Account Lock,2024-03-01,11,Pending,Low,20983598,2024-08-19,1579.78,Cashback,L03YKA,New York,Communication Sent,Customer Compensation,30,Human Intervention,1,Very Dissatisfied,In-Person
CUS3720,Existing,Savings,Florida,Gold,0HI3XMU,Unauthorized Charge,2024-12-21,12,Under Investigation,Medium,76461917,2024-12-22,1197.78,Cashback,UIA5VL,Georgia,Refund Issued,Resolved in Favor of Bank,14,Hybrid,5,Very Satisfied,Social Media
CUS5739,New,Checking,Illinois,Bronze,B4AR502,Billing Error,2024-10-10,4,Pending,Low,44037660,2024-03-21,422.14,Deposit,LA9E11,Washington,Issue Fixed,Customer Compensation,10,Human Intervention,1,Very Dissatisfied,In-Person
CUS3462,Existing,Savings,Ohio,Bronze,WSQZ7XU,Fraud,2024-03-09,10,Under Investigation,Low,86523839,2024-12-14,66.16,Withdrawal,2ZW7VH,Washington,Refund Issued,Resolved in Favor of Bank,11,AI,1,Very Satisfied,In-Person
CUS8686,Existing,Checking,New York,Gold,H38IEL8,Service Issue,2024-09-16,4,Under Investigation,Low,26081740,2024-03-11,2882.42,Transfer,88UU5D,New York,Refund Issued,Resolved in Favor of Bank,14,AI,3,Will Recommend,Online Chat
CUS6112,New,Checking,Georgia,Gold,3FP2S6S,Fraud,2024-07-19,8,Under Investigation,Medium,37115457,2024-10-18,118.21,Cashback,PHCBG4,Washington,Issue Fixed,Customer Compensation,14,Hybrid,5,Will Recommend,Phone
CUS7367,Existing,Checking,Florida,Platinum,YKAVE1V,Billing Error,2024-02-06,12,Pending,High,64720711,2024-09-01,2834.81,Cashback,P1APMK,California,Compensation Provided,Resolved in Favor of Bank,23,Hybrid,1,Dissatisfied,Phone
CUS5050,New,Checking,California,Silver,K3YBEDA,Service Issue,2024-10-27,2,Resolved,Low,00969554,2024-01-12,1353.23,Cashback,QHANRR,New York,Issue Fixed,Partial Refund,3,Hybrid,1,Neutral,Social Media
CUS1036,Existing,Checking,Ohio,Gold,3QYTK4A,Transaction Error,2024-06-15,13,Under Investigation,Low,22684690,2024-08-27,230.32,Transfer,Q7OSDH,Texas,Communication Sent,Resolved in Favor of Customer,12,Hybrid,1,Will Recommend,Email
CUS9095,Existing,Checking,Washington,Gold,JTHPYHH,Unauthorized Charge,2024-02-07,7,Pending,Medium,05535313,2024-11-14,376.58,Withdrawal,QM6UEL,Texas,Refund Issued,Partial Refund,4,Hybrid,1,Neutral,Phone
CUS6897,New,Savings,Illinois,Platinum,3XWDUYM,Fraud,2024-08-19,13,Resolved,Low,99396057,2024-05-11,2195.4,Cashback,G99CR9,Georgia,Compensation Provided,Partial Refund,4,Human Intervention,5,Very Dissatisfied,Email
CUS6012,Existing,Savings,Georgia,Platinum,GQ5RF1I,Account Lock,2024-04-06,2,Pending,Low,39615782,2024-11-27,1732.83,Deposit,4VXEP7,New York,Investigation Started,Customer Compensation,28,AI,2,Satisfied,Online Chat
CUS4014,Existing,Savings,Georgia,Bronze,9ZH2LC6,Service Issue,2024-06-05,7,Pending,Medium,47946931,2024-12-28,1247.29,Transfer,TD1FBT,Florida,Refund Issued,Resolved in Favor of Bank,27,AI,2,Satisfied,In-Person
CUS8755,Existing,Checking,Illinois,Gold,T992AT8,Service Issue,2024-11-10,7,Resolved,High,48932390,2024-03-15,881.74,Online Purchase,JVH401,California,Communication Sent,Partial Refund,16,Human Intervention,5,Dissatisfied,Phone
CUS4986,New,Savings,Ohio,Silver,AGHMDUR,Service Issue,2024-11-17,14,Pending,Medium,55245066,2024-08-22,2101.53,Withdrawal,VEXUOV,Georgia,Issue Fixed,Resolved in Favor of Customer,30,AI,1,Dissatisfied,In-Person
CUS5477,New,Savings,Ohio,Gold,SO6CPY2,Transaction Error,2024-02-01,14,Pending,Low,53851243,2024-03-23,1623.09,Deposit,JBF96G,Illinois,Communication Sent,Resolved in Favor of Bank,24,Human Intervention,2,Could Be Better,Social Media
CUS4708,New,Savings,New York,Silver,DF7F638,Unauthorized Charge,2024-04-19,7,Resolved,Low,51308919,2024-01-06,1565.21,Online Purchase,Y39OS9,California,Compensation Provided,Resolved in Favor of Bank,6,Hybrid,5,Satisfied,Phone
CUS3443,Existing,Checking,Ohio,Silver,P0DA1HC,Account Lock,2024-12-09,4,Pending,Medium,73634108,2024-10-24,2721.9,Transfer,6IPP51,Texas,Issue Fixed,Customer Compensation,17,AI,3,Dissatisfied,Email
CUS1573,Existing,Checking,Florida,Silver,813NHKA,Account Lock,2024-03-20,11,Under Investigation,Low,16712056,2024-09-10,395.95,Withdrawal,3O1VI2,Washington,Investigation Started,Resolved in Favor of Customer,20,Human Intervention,5,Very Satisfied,In-Person
CUS3765,New,Checking,Illinois,Bronze,NLMAXTO,Transaction Error,2024-08-17,3,Resolved,Low,10751109,2024-05-11,723.63,Withdrawal,XRJGW9,Texas,Issue Fixed,Resolved in Favor of Customer,23,Hybrid,3,Will Recommend,Phone
CUS6373,Existing,Savings,Texas,Silver,3YVHQ3R,Unauthorized Charge,2024-02-11,11,Under Investigation,Medium,80430483,2024-05-18,1045.48,Cashback,BRHUPD,New York,Compensation Provided,Customer Compensation,7,AI,5,Will Recommend,Email
CUS2794,Existing,Savings,Texas,Platinum,CZTENB4,Service Issue,2024-08-02,10,Under Investigation,Medium,32813192,2024-12-27,1180.83,Cashback,E8A2WQ,Florida,Communication Sent,Partial Refund,2,Human Intervention,4,Satisfied,Email
CUS6643,New,Savings,Ohio,Bronze,FOXP2F3,Transaction Error,2024-04-16,3,Resolved,Low,46283768,2024-08-28,2896.72,Deposit,V92C5N,Texas,Communication Sent,Partial Refund,15,Human Intervention,5,Neutral,Online Chat
CUS6354,New,Savings,Illinois,Bronze,ROBQUP9,Billing Error,2024-11-01,9,Resolved,Medium,12371438,2024-06-03,2242.07,Cashback,I3RCPX,Ohio,Refund Issued,Partial Refund,11,AI,4,Will Recommend,Phone
CUS8341,Existing,Checking,Washington,Platinum,RQWD0JA,Billing Error,2024-08-07,2,Resolved,High,39132601,2024-03-13,2385.72,Online Purchase,EPINGF,Ohio,Investigation Started,Resolved in Favor of Bank,3,AI,1,Will Recommend,Social Media
CUS4839,New,Checking,Ohio,Silver,71V7I3B,Fraud,2024-09-03,14,Resolved,Medium,33500229,2024-01-26,152.15,Withdrawal,0FESIW,New York,Refund Issued,Resolved in Favor of Customer,11,AI,4,Will Recommend,Email
CUS8474,Existing,Savings,Ohio,Bronze,VRWD1RM,Transaction Error,2024-12-25,8,Pending,High,52024771,2024-08-28,1126.64,Deposit,OGGT92,Illinois,Issue Fixed,Customer Compensation,22,AI,5,Very Dissatisfied,Social Media
CUS1672,Existing,Savings,California,Silver,LKGUB46,Billing Error,2024-10-01,14,Under Investigation,Low,09373492,2024-09-02,2192.83,Withdrawal,6T85VO,Washington,Communication Sent,Partial Refund,25,Hybrid,4,Neutral,Online Chat
CUS7347,Existing,Checking,New York,Bronze,3AV21F1,Fraud,2024-08-07,2,Pending,High,31357678,2024-04-21,2005.47,Transfer,J92YKI,Georgia,Refund Issued,Resolved in Favor of Bank,10,Human Intervention,4,Very Satisfied,Social Media
CUS1425,Existing,Savings,New York,Bronze,8XOSZS4,Fraud,2024-03-06,3,Under Investigation,Medium,03089099,2024-06-24,2170.77,Transfer,9OUQFR,Illinois,Issue Fixed,Resolved in Favor of Customer,8,AI,4,Neutral,Social Media
CUS9639,New,Savings,California,Gold,76WA892,Billing Error,2024-11-25,13,Pending,Low,46230192,2024-07-20,1904.81,Deposit,9BTXPX,Florida,Compensation Provided,Partial Refund,17,Hybrid,1,Neutral,Online Chat
CUS3320,Existing,Checking,Washington,Gold,NT7WUUK,Service Issue,2024-03-05,2,Pending,Medium,01896532,2024-02-14,1759.85,Cashback,3IRC3F,Florida,Compensation Provided,Resolved in Favor of Customer,26,AI,4,Very Dissatisfied,Social Media
CUS9525,Existing,Savings,Illinois,Platinum,97PTM11,Transaction Error,2024-10-23,2,Pending,Medium,82656741,2024-08-19,2416.04,Cashback,6G8DWU,Georgia,Issue Fixed,Resolved in Favor of Customer,11,AI,3,Very Satisfied,Social Media
CUS8433,Existing,Savings,New York,Bronze,MER3Q0J,Fraud,2024-03-09,11,Resolved,Medium,75793570,2024-03-03,720.19,Cashback,6I2GMV,Illinois,Issue Fixed,Resolved in Favor of Customer,3,Human Intervention,3,Very Dissatisfied,In-Person
CUS9517,Existing,Checking,California,Platinum,GA5A9LX,Unauthorized Charge,2024-10-14,4,Resolved,High,03142658,2024-05-16,1022.59,Deposit,U6N42B,Florida,Refund Issued,Resolved in Favor of Bank,16,Hybrid,1,Dissatisfied,Email
CUS2253,New,Savings,Washington,Platinum,J48MV5H,Account Lock,2024-07-05,11,Under Investigation,Low,09009032,2024-04-14,2121.83,Online Purchase,SP6FRS,Georgia,Communication Sent,Resolved in Favor of Bank,28,Hybrid,2,Satisfied,Email
CUS8663,New,Checking,New York,Gold,VKTKHOD,Transaction Error,2024-10-04,7,Under Investigation,Medium,08217137,2024-10-10,1945.36,Deposit,BX4LWG,New York,Investigation Started,Partial Refund,26,AI,4,Very Satisfied,Email
CUS6557,Existing,Checking,Illinois,Platinum,7E9XYN5,Transaction Error,2024-10-15,10,Resolved,Medium,27123336,2024-12-26,1642.45,Online Purchase,DCUER4,Illinois,Communication Sent,Customer Compensation,6,Human Intervention,2,Could Be Better,Online Chat
CUS3363,Existing,Checking,New York,Gold,BOSGSO9,Account Lock,2024-04-17,7,Under Investigation,Medium,56586565,2024-09-20,367.81,Deposit,F9DMOQ,Illinois,Investigation Started,Resolved in Favor of Customer,21,Hybrid,3,Satisfied,Email
CUS5330,New,Savings,Illinois,Gold,XGD22K7,Account Lock,2024-08-20,14,Under Investigation,Low,92352998,2024-05-23,2770.76,Deposit,24E0D6,Texas,Investigation Started,Resolved in Favor of Customer,25,AI,1,Very Satisfied,Email
CUS9103,New,Checking,Georgia,Gold,C7AGJLT,Account Lock,2024-05-25,6,Resolved,High,98057359,2024-04-15,1612.52,Withdrawal,LRV0PW,Georgia,Issue Fixed,Resolved in Favor of Customer,3,AI,2,Will Recommend,In-Person
CUS3408,Existing,Savings,Illinois,Silver,73NZ68Y,Unauthorized Charge,2024-11-25,7,Under Investigation,Low,99520121,2024-02-12,1370.39,Deposit,234JXZ,Georgia,Investigation Started,Resolved in Favor of Customer,28,Hybrid,1,Satisfied,Email
CUS2804,New,Savings,Texas,Bronze,Y7TR3OO,Service Issue,2024-05-20,14,Resolved,Medium,63769855,2024-03-10,857.9,Transfer,SY2B11,Georgia,Refund Issued,Partial Refund,29,Human Intervention,5,Neutral,Online Chat
CUS7906,Existing,Savings,Washington,Bronze,JQS6C3D,Service Issue,2024-03-03,8,Under Investigation,High,96405709,2024-10-20,1869.4,Deposit,RI7Q6Z,Florida,Issue Fixed,Resolved in Favor of Bank,19,Human Intervention,3,Satisfied,Social Media
CUS5434,New,Savings,Florida,Bronze,4KFJDOO,Transaction Error,2024-04-04,12,Under Investigation,High,00211158,2024-09-26,692.43,Online Purchase,TO31TA,Florida,Issue Fixed,Customer Compensation,4,AI,4,Very Satisfied,Email
CUS8941,Existing,Savings,Ohio,Silver,0V7ERKA,Transaction Error,2024-01-01,9,Resolved,Medium,11906763,2024-02-03,654.03,Online Purchase,FLPWLT,New York,Issue Fixed,Partial Refund,2,Hybrid,2,Satisfied,Social Media
CUS1873,Existing,Savings,Florida,Bronze,T6LKGOY,Account Lock,2024-12-28,10,Resolved,Medium,50486768,2024-11-17,1734.89,Deposit,2G6E61,Texas,Issue Fixed,Resolved in Favor of Customer,25,Hybrid,3,Dissatisfied,In-Person
CUS6516,Existing,Checking,Washington,Bronze,2P59LEQ,Transaction Error,2024-12-11,14,Pending,Medium,71286848,2024-12-05,2355.08,Cashback,JN1VMO,Texas,Communication Sent,Resolved in Favor of Bank,13,AI,1,Very Dissatisfied,Social Media
CUS7981,New,Savings,California,Gold,G4Z7RNM,Unauthorized Charge,2024-03-16,5,Resolved,Low,65611588,2024-05-13,2160.25,Cashback,C7F47N,Illinois,Investigation Started,Resolved in Favor of Bank,27,AI,2,Satisfied,Email
CUS9679,Existing,Savings,New York,Platinum,KOIVZ5T,Billing Error,2024-02-20,7,Under Investigation,Medium,03993842,2024-07-22,1451.31,Transfer,Y395VI,New York,Investigation Started,Resolved in Favor of Bank,29,AI,1,Very Dissatisfied,Social Media
CUS3185,New,Checking,Texas,Bronze,3KNJTWW,Billing Error,2024-04-09,9,Pending,Low,45155729,2024-03-09,839.76,Transfer,CXCYG2,Washington,Communication Sent,Resolved in Favor of Bank,24,AI,2,Satisfied,In-Person
CUS4899,New,Savings,Washington,Silver,FJ3H81G,Service Issue,2024-11-08,7,Pending,Medium,47793740,2024-01-08,724.7,Cashback,90941R,California,Compensation Provided,Customer Compensation,24,AI,5,Satisfied,Online Chat
CUS8046,New,Checking,Illinois,Platinum,VJERR3G,Unauthorized Charge,2024-04-28,9,Under Investigation,Low,96544458,2024-07-05,1920.45,Online Purchase,1WNYS6,Texas,Compensation Provided,Resolved in Favor of Customer,15,AI,1,Very Satisfied,Phone
CUS8742,New,Checking,California,Platinum,5MR3RV4,Service Issue,2024-03-27,6,Under Investigation,Medium,12050863,2024-01-16,1353.39,Online Purchase,TDDF7S,California,Compensation Provided,Resolved in Favor of Customer,17,Human Intervention,1,Could Be Better,In-Person
CUS9923,New,Savings,California,Platinum,DTS10ZJ,Account Lock,2024-10-17,11,Pending,Low,51150578,2024-02-09,228.6,Withdrawal,T2B88M,Texas,Investigation Started,Resolved in Favor of Customer,11,Human Intervention,3,Dissatisfied,In-Person
CUS6660,New,Savings,Washington,Gold,AFK4OJE,Service Issue,2024-08-05,5,Pending,High,73701772,2024-02-18,454.11,Deposit,33YTKG,Washington,Issue Fixed,Customer Compensation,9,Hybrid,5,Neutral,Email
CUS4179,New,Checking,Ohio,Silver,E9D2JTO,Fraud,2024-05-12,12,Resolved,Medium,76527779,2024-08-12,2527.92,Online Purchase,73XL6D,Texas,Compensation Provided,Customer Compensation,16,AI,3,Very Dissatisfied,In-Person
CUS1040,Existing,Savings,Florida,Gold,IQK8YCG,Fraud,2024-07-13,8,Under Investigation,High,04742209,2024-11-21,670.2,Cashback,04QSIB,Washington,Refund Issued,Resolved in Favor of Customer,26,Hybrid,5,Very Satisfied,In-Person
CUS7270,Existing,Checking,Georgia,Silver,WGTQD4P,Unauthorized Charge,2024-05-28,4,Pending,High,01148422,2024-03-14,2041.75,Transfer,WSRC4U,New York,Investigation Started,Partial Refund,2,AI,2,Neutral,Online Chat
CUS6176,New,Checking,New York,Bronze,OGETN7P,Transaction Error,2024-04-02,13,Pending,Medium,67080443,2024-04-06,2331.06,Withdrawal,KE7VC0,New York,Communication Sent,Customer Compensation,8,Human Intervention,4,Neutral,Email
CUS5445,New,Savings,Washington,Platinum,NS5QCTK,Fraud,2024-08-25,12,Pending,High,40461303,2024-04-24,1896.2,Online Purchase,99WV6U,Illinois,Communication Sent,Resolved in Favor of Bank,7,Hybrid,1,Will Recommend,Phone
CUS1328,Existing,Checking,Ohio,Platinum,D55CK8F,Account Lock,2024-12-09,4,Resolved,High,25596517,2024-03-20,622.1,Withdrawal,8J5OVC,Ohio,Issue Fixed,Partial Refund,6,Human Intervention,5,Very Satisfied,Social Media
CUS9010,Existing,Savings,Illinois,Gold,7S4GK04,Billing Error,2024-12-24,13,Under Investigation,Medium,60610637,2024-08-09,756.67,Deposit,ASUTHX,New York,Issue Fixed,Partial Refund,22,AI,5,Could Be Better,In-Person
CUS6749,New,Savings,Texas,Platinum,418K4PP,Transaction Error,2024-01-14,9,Under Investigation,High,00193426,2024-10-25,2251.3,Withdrawal,1QRXS2,Illinois,Investigation Started,Resolved in Favor of Bank,11,Human Intervention,1,Could Be Better,Phone
CUS3815,Existing,Savings,Ohio,Platinum,DTQK3TL,Account Lock,2024-10-24,2,Under Investigation,Medium,97218753,2024-12-26,497.35,Cashback,LY9IOU,Ohio,Refund Issued,Customer Compensation,15,Human Intervention,5,Will Recommend,Social Media
CUS5949,Existing,Checking,Texas,Silver,5TYRDMP,Service Issue,2024-12-02,14,Pending,Low,90598999,2024-08-10,1924.87,Cashback,RNK14E,Illinois,Investigation Started,Customer Compensation,26,AI,5,Satisfied,In-Person
CUS1354,New,Savings,Illinois,Bronze,NZTCTTG,Service Issue,2024-11-19,3,Under Investigation,High,93540003,2024-02-06,2598.38,Deposit,MO0N3U,Ohio,Investigation Started,Partial Refund,11,Human Intervention,5,Very Dissatisfied,Email
CUS8567,New,Savings,Illinois,Platinum,9MQSKZ7,Account Lock,2024-08-03,10,Pending,Medium,82020801,2024-12-19,144.71,Transfer,DO8FEB,Florida,Investigation Started,Customer Compensation,11,AI,4,Dissatisfied,Phone
